1 0.734867 0.433514 0.258275 0.167125 0.927892 40
1 0.732928 0.435604 0.262851 0.168163 0.93058 40
1 0.741294 0.426185 0.258853 0.172083 0.853722 40
1 0.741627 0.429521 0.261858 0.17251 0.854235 40
1 0.743094 0.42979 0.254917 0.17027 0.886017 40
1 0.743366 0.431911 0.258327 0.165173 0.873307 40
3 0.721047 0.926836 0.557905 0.145955 0.504256 46
1 0.745284 0.430715 0.25223 0.164871 0.909118 40
3 0.75979 0.925391 0.4789 0.149218 0.560283 46
1 0.745641 0.433537 0.251708 0.166472 0.749398 40
3 0.722933 0.911056 0.552376 0.175321 0.396146 46
1 0.746897 0.425479 0.252785 0.17294 0.881321 40
3 0.721566 0.917669 0.556582 0.160599 0.550109 46
1 0.746679 0.428033 0.251487 0.172375 0.772183 40
3 0.756136 0.918828 0.486195 0.161408 0.260857 46
1 0.747934 0.426676 0.252404 0.173924 0.872319 40
3 0.758857 0.921871 0.481742 0.156258 0.531432 46
1 0.746964 0.429672 0.252594 0.174337 0.609574 40
3 0.83121 0.916457 0.336324 0.166466 0.274705 46
1 0.749411 0.428486 0.25076 0.172267 0.867487 40
3 0.857216 0.906558 0.284873 0.185918 0.140952 46
1 0.749397 0.431361 0.250935 0.166933 0.860436 40
1 0.750981 0.430199 0.248342 0.167429 0.888268 40
3 0.782705 0.918655 0.43459 0.161925 0.515649 46
1 0.749992 0.432937 0.252101 0.168045 0.557794 40
3 0.735538 0.905741 0.528925 0.179223 0.669274 46
1 0.750046 0.427198 0.250134 0.1731 0.861288 40
3 0.746425 0.9151 0.50715 0.162983 0.493573 46
1 0.750451 0.430019 0.252819 0.173831 0.504309 40
1 0.751013 0.429544 0.250331 0.171354 0.858708 40
1 0.750842 0.43258 0.251679 0.164065 0.894366 40
1 0.751618 0.425913 0.249646 0.172501 0.856119 40
1 0.751549 0.42732 0.250127 0.174179 0.585159 40
1 0.751321 0.427356 0.25212 0.171357 0.856413 40
1 0.753558 0.431255 0.256432 0.170695 0.606253 40
1 0.754501 0.424681 0.257581 0.170583 0.826111 40
1 0.755978 0.425894 0.260834 0.169814 0.700732 40
1 0.756406 0.421688 0.264132 0.168984 0.860363 40
1 0.755535 0.423865 0.269837 0.170342 0.770543 40
1 0.757923 0.421179 0.268451 0.170142 0.824038 40
1 0.757482 0.4234 0.275419 0.170846 0.674492 40
1 0.775282 0.421068 0.264754 0.164758 0.889975 40
1 0.772909 0.422453 0.270078 0.164136 0.901945 40
1 0.8164 0.442752 0.250966 0.166757 0.955694 40
1 0.814813 0.442717 0.25749 0.16752 0.917069 40
1 0.842413 0.442411 0.244408 0.169098 0.946693 40
3 0.730628 0.932748 0.537691 0.130933 0.504909 46
1 0.846305 0.44232 0.243365 0.169594 0.854587 40
3 0.712254 0.919263 0.57076 0.158686 0.531029 46
1 0.84838 0.428705 0.239804 0.178986 0.860568 40
3 0.738547 0.91725 0.512127 0.160835 0.531131 46
1 0.849049 0.429874 0.243466 0.179793 0.713496 40
3 0.714957 0.901471 0.563117 0.191732 0.691233 46
1 0.848151 0.394678 0.246621 0.176113 0.574348 40
3 0.713913 0.89259 0.562864 0.186964 0.250921 46
4 0.762488 0.094976 0.245354 0.168247 0.789068
1 0.841061 0.379741 0.241196 0.174899 0.910168 40
1 0.839232 0.383776 0.244551 0.167181 0.833399 40
1 0.83132 0.380928 0.245734 0.169462 0.894765 40
1 0.832201 0.372637 0.250282 0.184971 0.900557 40
1 0.828603 0.376788 0.240133 0.181903 0.920439 40
1 0.827223 0.383 0.244814 0.170954 0.784324 40
1 0.821499 0.383258 0.237862 0.169049 0.890204 40
1 0.821497 0.38233 0.245122 0.171362 0.760067 40
1 0.814811 0.397265 0.242423 0.169014 0.867662 40
1 0.813278 0.39856 0.245077 0.163081 0.763508 40
1 0.809523 0.399382 0.245845 0.16683 0.846924 40
1 0.809312 0.399792 0.245733 0.161023 0.836582 40
1 0.805669 0.398087 0.244266 0.167429 0.838068 40
1 0.806883 0.399545 0.249922 0.160493 0.831071 40
1 0.800001 0.382719 0.24674 0.170751 0.787933 40
1 0.79897 0.380522 0.250435 0.177662 0.682103 40
1 0.780808 0.342459 0.253111 0.180164 0.838302 40
1 0.778346 0.345875 0.256459 0.165263 0.77754 40
1 0.778286 0.324663 0.251377 0.172609 0.857485 40
4 0.766005 0.204619 0.25272 0.409237 0.315957
1 0.774269 0.315938 0.243214 0.172659 0.915361 40
4 0.768551 0.237562 0.251195 0.327543 0.695843 40
1 0.777176 0.286043 0.246765 0.252954 0.885211 40
1 0.775324 0.312035 0.253609 0.207832 0.710883 40
1 0.775457 0.312807 0.251235 0.187472 0.900937 40
1 0.773408 0.318051 0.251857 0.171312 0.795254 40
1 0.778792 0.315077 0.247912 0.176002 0.881219 40
1 0.779598 0.317922 0.252089 0.166325 0.803182 40
1 0.776718 0.31661 0.255733 0.171607 0.86167 40
1 0.774723 0.316724 0.262706 0.162034 0.841357 40
1 0.781316 0.331675 0.260589 0.175982 0.338034 40
1 0.781206 0.336438 0.263652 0.16821 0.555025 40
1 0.829458 0.361337 0.25075 0.16668 0.88055 40
1 0.828187 0.367334 0.256917 0.165974 0.914026 40
1 0.848629 0.368934 0.243917 0.157741 0.916724 40
1 0.848944 0.369303 0.248548 0.165255 0.784268 40
1 0.853584 0.381822 0.242145 0.192005 0.550218 40
1 0.856909 0.390009 0.236525 0.187286 0.434323 40
1 0.853419 0.395739 0.23697 0.179156 0.85496 40
1 0.853209 0.398877 0.238055 0.179237 0.821983 40
1 0.851333 0.417399 0.234171 0.19563 0.841005 40
1 0.850672 0.42486 0.237235 0.188047 0.817981 40
1 0.852494 0.410647 0.231419 0.170647 0.747846 40
1 0.85195 0.416486 0.237812 0.164346 0.653818 40
1 0.859101 0.416816 0.23591 0.163347 0.884592 40
1 0.859722 0.415887 0.245022 0.165814 0.910206 40
1 0.855834 0.417644 0.239797 0.168041 0.594132 40
1 0.855942 0.41922 0.246194 0.167576 0.885802 40
1 0.855073 0.442499 0.248046 0.175729 0.752229 40
1 0.854537 0.446196 0.25587 0.176727 0.861954 40
3 0.794242 0.934595 0.410674 0.125292 0.631608 86
1 0.873876 0.451809 0.252248 0.183647 0.608937 40
3 0.823089 0.938526 0.353823 0.122947 0.212436 86
1 0.871323 0.456904 0.253943 0.175332 0.928156 40
